"wikipedia_id","wiki_img_url","name","age","gender","ethnicity","type","party","state","wiki_img_labels","wiki_img_labelsconf","clothing_apparel","color_adjective","occupation","other","physicaltrait_body","wiki_img_labels_repl","wiki_img_labelsconf_repl","clothing_apparel_repl","color_adjective_repl","occupation_repl","other_repl","physicaltrait_body_repl"
"Alcee_Hastings","mc_images/Alcee_Hastings.jpg","Alcee Hastings",82,"Male","african_american","Representative","Democrat","FL","official, facial_hair, elder, senior_citizen, moustache, beard, speaker, businessperson","0.86107337474823, 0.7945031523704529, 0.7809241414070129, 0.6710704565048218, 0.6627506613731384, 0.6597321033477783, 0.5856884717941284, 0.5358842015266418",0,0,3,0,5,"Forehead, Smile, Organ, Dress_shirt, Beard, Gesture, Collar, Flag, Flag_of_the_united_states, Happy, Blazer, Suit, Official, Wrinkle, Event, Tie, White-collar_worker, Spokesperson, Pleased, Flag_Day_(USA), Electric_blue, Moustache, Formal_wear, Elder, Job","0.9846564, 0.9732999, 0.9044877, 0.8877074, 0.8799641, 0.85256684, 0.82858896, 0.8255313, 0.7978112, 0.7844578, 0.7827465, 0.77818894, 0.7394789, 0.7362651, 0.7233741, 0.71453017, 0.70868313, 0.67004365, 0.6537043, 0.64909536, 0.64623487, 0.61234295, 0.60349196, 0.59553427, 0.54807115",7,3,5,5,5
"Alex_Mooney","mc_images/Alex_Mooney.jpg","Alex Mooney",47,"Male","hispanic","Representative","Republican","WV","person, chin, official, forehead, businessperson, elder, white_collar_worker, smile, spokesperson, business, speaker","0.9467506408691406, 0.8970133662223816, 0.8736941814422607, 0.8462184071540833, 0.7841768860816956, 0.7535248398780823, 0.7200068831443787, 0.6284593939781189, 0.5910682082176208, 0.5117969512939453, 0.5020008683204651",0,0,6,1,4,"Forehead, Smile, Chin, Eyebrow, Dress_shirt, Tie, Suit, Collar, Blazer, Happy, Formal_wear, White-collar_worker, Official, Throat, Wrinkle, Event, Pleased, Portrait_photography, Portrait, Businessperson","0.9846564, 0.9790845, 0.9677165, 0.9399746, 0.8984646, 0.85773915, 0.84542507, 0.84011, 0.7818098, 0.7508191, 0.73009425, 0.72770846, 0.72686, 0.6996742, 0.6950185, 0.6544605, 0.6528458, 0.5463452, 0.5222801, 0.5192312",7,2,3,2,6
"Alma_Adams","mc_images/Alma_Adams.jpg","Alma Adams",72,"Female","african_american","Representative","Democrat","NC","official, headgear, flag_of_the_united_states, gentleman, military_officer","0.8583153486251831, 0.685726523399353, 0.6114730834960938, 0.5532734394073486, 0.5134156942367554",1,1,2,1,0,"Glasses, Smile, Flag_of_the_united_states, Sleeve, Gesture, Flag, Collar, Blazer, Eyewear, Spokesperson, Flag_Day_(USA), Event, Official, Military_person, Electric_blue, Happy, Cap, White-collar_worker, Formal_wear, Suit, Uniform, Hat, Job, Military_officer, Costume_hat","0.9776462, 0.95221895, 0.87423056, 0.8722819, 0.85260487, 0.8394967, 0.8169775, 0.7826301, 0.75115997, 0.75067216, 0.74232846, 0.7388731, 0.73093605, 0.7304765, 0.7276152, 0.711325, 0.70126146, 0.69129676, 0.69084877, 0.6714241, 0.6507453, 0.6289447, 0.60620576, 0.59581494, 0.5825338",11,2,6,4,2
"Amata_Coleman_Radewagen","mc_images/Amata_Coleman_Radewagen.jpg","Aumua Amata",71,"Female","asian","Representative","Republican","AS","person, official, smile","0.9303461909294128, 0.6355065107345581, 0.6011778712272644",0,0,1,1,1,"Smile, Flag, Gesture, Flash_photography, Flag_of_the_united_states, Happy, Event, Jewellery, Electric_blue, Official, Wrinkle, Necklace, Flag_Day_(USA), Spokesperson, Portrait_photography, Sky","0.97145146, 0.888273, 0.85260487, 0.8424787, 0.8172662, 0.79780245, 0.7274147, 0.7083729, 0.6583383, 0.6436579, 0.6273105, 0.6237585, 0.61728007, 0.55897343, 0.5531191, 0.50963485",3,2,2,7,2
"Ami_Bera","mc_images/Ami_Bera.jpg","Ami Bera",53,"Male","asian","Representative","Democrat","CA","person, suit, official, businessperson, spokesperson, necktie, speaker, elder, formal_wear, gentleman, speech","0.9249337315559387, 0.9083243012428284, 0.8920575380325317, 0.7961164116859436, 0.7282525300979614, 0.6880326867103577, 0.630219042301178, 0.6096351146697998, 0.5587281584739685, 0.5082987546920776, 0.5046054124832153",3,1,4,2,1,"Forehead, Smile, Dress_shirt, Gesture, Tie, Collar, Flag, Flag_of_the_united_states, Suit, Sleeve, Blazer, Formal_wear, Spokesperson, Official, Event, Happy, Throat, White-collar_worker, Pleased, Electric_blue, Flag_Day_(USA), Business, Job, Portrait_photography, Businessperson","0.9846564, 0.9728615, 0.89857155, 0.85260487, 0.8500494, 0.84105724, 0.8332499, 0.79954827, 0.79906183, 0.7958064, 0.7827472, 0.7547395, 0.74817395, 0.74648243, 0.72772527, 0.6999283, 0.69655037, 0.67708296, 0.6532948, 0.632908, 0.627119, 0.5847795, 0.55499476, 0.51600665, 0.5143711",7,3,6,5,4
"Amy_Klobuchar","mc_images/Amy_Klobuchar.jpg","Amy Klobuchar",58,"Female","white","Senator","Democrat","MN","outerwear, business, businessperson, suit, blazer, job, white_collar_worker, formal_wear","0.769070029258728, 0.7639911770820618, 0.7223896980285645, 0.7181652784347534, 0.5938130021095276, 0.5525855422019958, 0.5168052315711975, 0.5111525058746338",4,0,4,0,0,"Smile, Neck, Sleeve, Gesture, Collar, Pantsuit, Blazer, Formal_wear, White-collar_worker, Suit, Electric_blue, Event, Serveware, Happy, Sitting, Button, Pottery, Dress_shirt, Clay, Job, Official, Business, Thumb, Layered_hair, Employment","0.9719412, 0.88799226, 0.8724505, 0.85260487, 0.83770436, 0.7998097, 0.7827808, 0.7651149, 0.75865555, 0.69757724, 0.6948015, 0.6911902, 0.6742802, 0.65895045, 0.6422354, 0.64040864, 0.6375791, 0.63070124, 0.60529035, 0.6001312, 0.5968961, 0.58490056, 0.5778365, 0.5680442, 0.55945694",8,3,5,4,5
"André_Carson","mc_images/André_Carson.jpg","Andre Carson",44,"Male","african_american","Representative","Democrat","IN","person, official, elder, suit, businessperson, spokesperson, necktie, smile, speaker, public_speaking, speech, formal_wear","0.9299989938735962, 0.8913304209709167, 0.7850600481033325, 0.781987190246582, 0.7804678082466125, 0.7076024413108826, 0.6499091386795044, 0.6216521859169006, 0.6213507652282715, 0.596264660358429, 0.5563957095146179, 0.5552517175674438",3,0,5,2,2,"Smile, Gesture, Flag, Dress_shirt, Collar, Suit, Tie, Blazer, Flag_of_the_united_states, Official, Event, Electric_blue, Formal_wear, Spokesperson, White-collar_worker, Wrinkle, Government_agency, Job, Happy, Military_person, Government, Businessperson, Button, Military_rank, Management","0.98173136, 0.85260487, 0.837441, 0.8221226, 0.82116044, 0.8086679, 0.7945079, 0.7827177, 0.74236274, 0.73926836, 0.73697007, 0.7326162, 0.7143612, 0.7044379, 0.662858, 0.6515165, 0.59642076, 0.5957461, 0.5938882, 0.5595434, 0.52711, 0.5252717, 0.52321446, 0.5137761, 0.5124465",8,2,10,3,2
"Andy_Barr_(U.S._politician)","mc_images/Andy_Barr_(U.S._politician).jpg","Garland Barr",45,"Male","white","Representative","Republican","KY","official, suit, businessperson, spokesperson, elder, speaker, necktie, speech, public_speaking, business, formal_wear","0.8919690847396851, 0.8891159296035767, 0.7977582812309265, 0.7408914566040039, 0.6787135601043701, 0.6536835432052612, 0.6368175745010376, 0.5628505945205688, 0.5533947944641113, 0.5500600934028625, 0.5378415584564209",3,0,6,1,1,"Smile, Tie, Dress_shirt, Sleeve, Gesture, Collar, Suit, Flag, Blazer, Spokesperson, Flag_of_the_united_states, Official, Event, Formal_wear, Throat, White-collar_worker, Cloud, Job, Wrinkle, Flag_Day_(USA), Government_agency, Business, Businessperson","0.9758456, 0.9044124, 0.89417374, 0.8632799, 0.85260487, 0.84117144, 0.83368605, 0.81709373, 0.78275603, 0.7662003, 0.7492206, 0.7419416, 0.7300041, 0.71616995, 0.6839394, 0.6374311, 0.6226934, 0.5770801, 0.57210577, 0.5638721, 0.5420025, 0.5285254, 0.5060908",8,0,7,5,3
"Andy_Biggs_(politician)","mc_images/Andy_Biggs_(politician).jpg","Andy Biggs",60,"Male","white","Representative","Republican","AZ","official, businessperson, public_speaking, spokesperson, business, suit, elder, speaker, management, energy, white_collar_worker","0.8331027626991272, 0.7942140698432922, 0.7803714871406555, 0.7570147514343262, 0.7344364523887634, 0.6849967241287231, 0.6801539063453674, 0.6120860576629639, 0.5989042520523071, 0.5338338017463684, 0.5228977203369141",1,0,8,1,1,"Smile, Chin, Coat, Tie, Dress_shirt, Sleeve, Gesture, Suit, Collar, Spokesperson, Blazer, White-collar_worker, Formal_wear, Official, Event, Public_speaking, Electric_blue, Thumb, Business, Job, Sitting, Wrinkle, Businessperson, Management, Speech","0.9795612, 0.96688324, 0.93659157, 0.9176565, 0.90202415, 0.87077135, 0.85260487, 0.85058814, 0.8402206, 0.8035193, 0.7827813, 0.76137406, 0.75555646, 0.73958457, 0.72823906, 0.6846704, 0.6813637, 0.6646729, 0.65491194, 0.63004696, 0.5818068, 0.5535533, 0.540287, 0.53700995, 0.5315419",9,2,8,2,4
"Andy_Harris_(politician)","mc_images/Andy_Harris_(politician).jpg","Andy Harris",61,"Male","white","Representative","Republican","MD","official, businessperson, elder, spokesperson, speaker, necktie, business, suit","0.8915165066719055, 0.7957051992416382, 0.7460435032844543, 0.6884987354278564, 0.6484371423721313, 0.5239448547363281, 0.5133997201919556, 0.5106682777404785",2,0,5,0,1,"Forehead, Glasses, Smile, Chin, Vision_care, Dress_shirt, Tie, Collar, Flag, Suit, Blazer, Flag_of_the_united_states, Happy, Official, Eyewear, Wrinkle, White-collar_worker, Event, Formal_wear, Gesture, Pleased, Spokesperson, Throat, Elder, Flag_Day_(USA)","0.9846564, 0.98404145, 0.9759288, 0.9660973, 0.89769953, 0.89137375, 0.8625774, 0.8389258, 0.8136796, 0.8058722, 0.782666, 0.7796273, 0.7435528, 0.7433194, 0.73175526, 0.7252092, 0.72383565, 0.7171501, 0.7003738, 0.65260047, 0.6379471, 0.6177172, 0.5938567, 0.5847629, 0.5563268",10,2,3,5,5
"Angus_King","mc_images/Angus_King.jpg","Angus King",74,"Male","white","Senator","Independent","ME","person, official, chin, businessperson, spokesperson, senior_citizen, elder, gentleman, speaker, smile, speech, public_speaking","0.9420958757400513, 0.889362096786499, 0.7982271313667297, 0.7756845951080322, 0.7529732584953308, 0.7467599511146545, 0.7355995774269104, 0.6343873739242554, 0.6319726705551147, 0.5595148205757141, 0.5193163156509399, 0.5155268907546997",0,1,5,2,4,"Forehead, Smile, Dress_shirt, Collar, Gesture, Tie, Suit, Blazer, Wrinkle, Flag, Official, Happy, Event, White-collar_worker, Throat, Spokesperson, Formal_wear, Pleased, Electric_blue, Elder, Businessperson, Portrait_photography","0.9846564, 0.9733283, 0.8864013, 0.8398379, 0.8389251, 0.8372277, 0.79468036, 0.78211576, 0.7754843, 0.76451164, 0.75793505, 0.7251811, 0.7222123, 0.709017, 0.6941189, 0.6855861, 0.6500621, 0.644918, 0.57187337, 0.5515653, 0.5229712, 0.5117365",7,3,4,4,4
"Ann_McLane_Kuster","mc_images/Ann_McLane_Kuster.jpg","Ann Kuster",62,"Female","white","Representative","Democrat","NH","person, official, vision_care, spokesperson, chin, businessperson, outerwear, glasses, smile, suit, eyewear, television_presenter, speaker, public_speaking","0.936656653881073, 0.8418340086936951, 0.8309951424598694, 0.8061044812202454, 0.7755774259567261, 0.7311877608299255, 0.7292301058769226, 0.6943267583847046, 0.6827856302261353, 0.6127855181694031, 0.5659111738204956, 0.5576270222663879, 0.5345104932785034, 0.50859135389328",5,0,6,1,2,"Glasses, Smile, Chin, Sleeve, Collar, Flag_of_the_united_states, Pantsuit, Flag, Blazer, Official, Event, Electric_blue, White-collar_worker, Spokesperson, Throat, Employment, Pleased, Job, Formal_wear, Eyewear, Suit, Flag_Day_(USA), Jewellery, Businessperson, Wrinkle","0.9787737, 0.9781965, 0.9658906, 0.87244606, 0.8345015, 0.81261045, 0.7997118, 0.79074734, 0.7825821, 0.7476855, 0.7375059, 0.7022229, 0.6912599, 0.66256475, 0.65554804, 0.65382826, 0.6463805, 0.643921, 0.64375097, 0.6335209, 0.6245813, 0.62099, 0.5118671, 0.5024872, 0.50184625",10,2,6,4,3
"Ann_Wagner","mc_images/Ann_Wagner.jpg","Ann Wagner",56,"Female","white","Representative","Republican","MO","person, official, spokesperson, smile, speech, outerwear, public_speaking, speaker, girl, senior_citizen, businessperson, newscaster, formal_wear, fun","0.9258313775062561, 0.8766610622406006, 0.8329158425331116, 0.8013110756874084, 0.7853562235832214, 0.7369160652160645, 0.697321355342865, 0.626304030418396, 0.5777310729026794, 0.5676146745681763, 0.5367662310600281, 0.5306018590927124, 0.5212113857269287, 0.5142441987991333",2,1,6,2,3,"Hair, Face, Smile, Head, Sleeve, Coat, Gesture, Flag, Spokesperson, Flag_of_the_united_states, Pantsuit, Blazer, Electric_blue, Official, Event, Jewellery, Speech, Blond, Necklace, Public_speaking, Formal_wear, Employment, Flag_Day_(USA), Button, Happy","0.98385495, 0.9834532, 0.9743786, 0.9715718, 0.8677508, 0.8565094, 0.85260487, 0.84422934, 0.83119255, 0.8311841, 0.79979265, 0.78275007, 0.76120305, 0.7593255, 0.74503845, 0.73835725, 0.71582264, 0.7138108, 0.7055947, 0.6958276, 0.6952873, 0.692934, 0.6873789, 0.68119866, 0.65984726",8,3,4,5,5
"Anna_Eshoo","mc_images/Anna_Eshoo.jpg","Anna Eshoo",76,"Female","white","Representative","Democrat","CA","hair, chin, hairstyle, smile, forehead, neck, outerwear, hair_coloring, long_hair, brown_hair, bangs","0.9670381546020508, 0.8897947669029236, 0.8604409098625183, 0.7581779360771179, 0.7468064427375793, 0.7101351618766785, 0.7098485231399536, 0.687574565410614, 0.6133251786231995, 0.6065087914466858, 0.5274943113327026",1,0,0,0,10,"Forehead, Smile, Cheek, Outerwear, Eyebrow, Sleeve, Gesture, Wings, Collar, Blazer, Wrinkle, Happy, Electric_blue, Pleased, Official, White-collar_worker, Bangs, Layered_hair, Makeover, Pixie_cut, Portrait_photography, Button, Portrait, Formal_wear, Laugh","0.9846564, 0.9790833, 0.9788159, 0.9506143, 0.93809295, 0.87244976, 0.85107267, 0.83455914, 0.821527, 0.779395, 0.7726846, 0.7048142, 0.7045759, 0.65536463, 0.6544934, 0.6302811, 0.6257097, 0.5950693, 0.5938216, 0.57254064, 0.57233703, 0.54629433, 0.53992516, 0.5269378, 0.5046409",7,3,2,2,11
"Anthony_G._Brown","mc_images/Anthony_G._Brown.jpg","Anthony Brown",57,"Male","african_american","Representative","Democrat","MD","official, suit, businessperson, spokesperson, speech, necktie, public_speaking, speaker, elder, gentleman, business, formal_wear","0.8895716667175293, 0.87302166223526, 0.7942480444908142, 0.7401067018508911, 0.6920318603515625, 0.6725074648857117, 0.6383762955665588, 0.6057852506637573, 0.5897331833839417, 0.5679994225502014, 0.5336005091667175, 0.5029104351997375",3,1,6,1,1,"Forehead, Smile, Shirt, Tie, Dress_shirt, Sleeve, Gesture, Collar, Flag_of_the_united_states, Flag, Blazer, Suit, Spokesperson, Formal_wear, Event, Official, White-collar_worker, Government_agency, Military_person, Flag_Day_(USA), Electric_blue, Caesar_cut, Job, Organization, Crew_cut","0.9846564, 0.9615297, 0.94000316, 0.9007857, 0.8852017, 0.87102723, 0.85260487, 0.8409379, 0.80466664, 0.7911837, 0.7826976, 0.77528477, 0.7420608, 0.738608, 0.73119885, 0.71751815, 0.6837675, 0.6773876, 0.6621969, 0.64961255, 0.63256955, 0.6195217, 0.5893807, 0.5421022, 0.5325381",8,1,7,4,5
"Austin_Scott_(politician)","mc_images/Austin_Scott_(politician).jpg","Austin Scott",49,"Male","white","Representative","Republican","GA","suit, official, formal_wear, businessperson, spokesperson, necktie, tuxedo, gentleman, speech, elder, speaker, public_speaking, white_collar_worker","0.9454993605613708, 0.8932737112045288, 0.8624085187911987, 0.795821487903595, 0.7220720052719116, 0.7190373539924622, 0.7118027806282043, 0.6691639423370361, 0.6282532811164856, 0.6102167367935181, 0.6083966493606567, 0.5922282338142395, 0.5687779784202576",4,1,6,1,1,"Forehead, Smile, Chin, Dress_shirt, Tie, Gesture, Collar, Flag, Suit, Blazer, Happy, Official, Formal_wear, Flag_of_the_united_states, Event, Spokesperson, Throat, Pleased, White-collar_worker, Electric_blue, Flag_Day_(USA), Businessperson","0.9846564, 0.97537464, 0.96702754, 0.882073, 0.8814624, 0.85260487, 0.8393995, 0.8368298, 0.8000797, 0.78274524, 0.7697869, 0.74547166, 0.73906785, 0.73538077, 0.7285835, 0.72471356, 0.6917942, 0.6503236, 0.64273715, 0.6211952, 0.5704872, 0.51510614",6,3,4,4,5
